46,1402-1100-20170105-0016,1402,大同市,20170105,1100,北京,0016,4330,0.25,0.75,0,113.725685,39.900856,116.41949,40.186707,301,1402,大同市,1100,北京,迁出
47,1402-1307-20170105-0016,1402,大同市,20170105,1307,张家口,0016,4095,0.55,0.45,0,113.725685,39.900856,115.03827,40.867504,181,1402,大同市,1307,张家口,迁出
48,1402-2301-20170105-0016,1402,大同市,20170105,2301,哈尔滨,0016,1514,0,0.57,0.43,113.725685,39.900856,127.963104,45.63947,1704,1402,大同市,2301,哈尔滨,迁出
49,1401-1410-20170105-0016,1401,太原市,20170105,1410,临汾,0016,19071,0.19,0.81,0,112.32123,37.9596,111.38226,36.227863,219,1401,太原市,1410,临汾,迁出
50,1401-1409-20170105-0016,1401,太原市,20170105,1409,忻州,0016,17898,0.29,0.71,0,112.32123,37.9596,112.412735,38.882896,103,1401,太原市,1409,忻州,迁出
51,1401-1404-20170105-0016,1401,太原市,20170105,1404,长治,0016,13380,0.26,0.74,0,112.32123,37.9596,112.92147,36.47502,178,1401,太原市,1404,长治,迁出
52,1310-1100-20170105-0016,1310,廊坊市,20170105,1100,北京,0016,77542,0.51,0.49,0,116.633644,39.26054,116.41949,40.186707,106,1310,廊坊市,1100,北京,迁出
53,1310-1306-20170105-0016,1310,廊坊市,20170105,1306,保定,0016,12107,0.58,0.42,0,116.633644,39.26054,115.17669,39.022297,164,1310,廊坊市,1306,保定,迁出
54,1310-1302-20170105-0016,1310,廊坊市,20170105,1302,唐山,0016,4792,0.36,0.64,0,116.633644,39.26054,118.34046,39.724365,196,1310,廊坊市,1302,唐山,迁出
55,1310-1304-20170105-0016,1310,廊坊市,20170105,1304,邯郸,0016,4147,0.39,0.61,0,116.633644,39.26054,114.5475,36.55303,379,1310,廊坊市,1304,邯郸,迁出
56,1311-3714-20170105-0016,1311,衡水市,20170105,3714,德州,0016,6801,0.54,0.46,0,115.82836,37.762592,116.65091,37.24778,108,1311,衡水市,3714,德州,迁出
57,1311-1200-20170105-0016,1311,衡水市,20170105,1200,天津,0016,4444,0.31,0.69,0,115.82836,37.762592,117.33755,39.29692,239,1311,衡水市,1200,天津,迁出
58,1311-2301-20170105-0016,1311,衡水市,20170105,2301,哈尔滨,0016,2835,0,0.87,0.13,115.82836,37.762592,127.963104,45.63947,1606,1311,衡水市,2301,哈尔滨,迁出
59,1407-1401-20170105-0016,1407,晋中市,20170105,1401,太原,0016,34037,0.32,0.68,0,112.96735,37.326923,112.32123,37.9596,100,1407,晋中市,1401,太原,迁出
60,1407-1411-20170105-0016,1407,晋中市,20170105,1411,吕梁,0016,8362,0.46,0.54,0,112.96735,37.326923,111.26789,37.67888,193,1407,晋中市,1411,吕梁,迁出
61,1407-1404-20170105-0016,1407,晋中市,20170105,1404,长治,0016,5012,0.26,0.74,0,112.96735,37.326923,112.92147,36.47502,95,1407,晋中市,1404,长治,迁出
62,1407-3100-20170105-0016,1407,晋中市,20170105,3100,上海,0016,2790,0.14,0.11,0.75,112.96735,37.326923,121.461624,31.19809,1163,1407,晋中市,3100,上海,迁出
63,1406-1401-20170105-0016,1406,朔州市,20170105,1401,太原,0016,4966,0.29,0.71,0,112.64382,39.617893,112.32123,37.9596,188,1406,朔州市,1401,太原,迁出
64,1406-2301-20170105-0016,1406,朔州市,20170105,2301,哈尔滨,0016,1072,0,0.47,0.53,112.64382,39.617893,127.963104,45.63947,1827,1406,朔州市,2301,哈尔滨,迁出
65,1406-1306-20170105-0016,1406,朔州市,20170105,1306,保定,0016,843,0.56,0.44,0,112.64382,39.617893,115.17669,39.022297,289,1406,朔州市,1306,保定,迁出
66,1405-1404-20170105-0016,1405,晋城市,20170105,1404,长治,0016,4740,0.43,0.57,0,112.71211,35.610218,112.92147,36.47502,99,1405,晋城市,1404,长治,迁出
